100
10
0.58	0.03	-0.26	1.47	1.55	2.5	3.34	4.38	5.32	4.87
0.08	0.06	0.53	1.92	2.79	3.32	4.25	5.1	5.9	6.01
0.05	0.45	1.24	2.33	2.55	4.3	5.11	5.57	5.59	6.06
0.5	1.39	2.31	3.01	3.66	5.21	5.82	6.08	5.87	4.18
1.32	2.27	3.17	4.21	2.04	5.83	6.04	5.74	5.35	3.09
2.3	3.09	3.83	3.19	2.95	5.99	5.72	4.97	3.68	3.54
3.21	3.92	4.19	3.22	2.25	5.67	4.86	3.75	2.57	1.08
3.83	4.04	3.53	2.44	2.37	4.94	3.95	3.09	1.92	1.9
3.99	3.54	3.17	2.02	1.48	3.98	3.09	2.1	2.33	2.49
3.67	2.98	2.05	1.37	-1.24	3.03	2.34	2.03	2.72	3.87
2.94	1.8	0.66	0.04	0.12	2.31	2.01	2.03	2.2	3.97
1.98	1.03	0.37	0.34	-0.41	2	2.26	2.79	3.12	4.52
1.03	0.47	-0.09	0.32	0.96	2.19	2.82	3.67	4.56	6.35
0.31	0.03	-0.1	0.43	2.58	2.82	3.74	4.75	5.31	5.88
0	0.29	0.96	1.72	2.43	3.74	4.78	5.71	5.93	5.55
0.19	0.86	1.42	2.69	4.13	4.72	5.63	6.16	6.89	5.83
0.82	1.86	2.83	3.6	2.94	5.53	5.92	5.74	5.18	4.69
1.74	2.77	3.42	4	3.31	5.96	5.96	5.28	3.51	3.42
2.72	3.59	3.96	3.36	2.44	5.91	5.39	4.38	2.82	1.59
3.53	3.94	3.79	3.74	3.54	5.4	4.57	3.51	2.91	1.98
3.96	3.65	3.25	2.6	1.15	4.54	3.74	3.36	2.79	1.89
3.91	3.35	2.68	1.68	1.08	3.55	2.66	1.87	2	2.18
3.4	2.55	1.76	1.01	-0.22	2.67	2.02	2.02	3.23	3.67
2.54	1.58	0.41	-0.66	0.5	2.12	2.01	2.5	3.38	3.51
1.55	0.59	0.08	0.15	0.17	2.02	2.34	3.07	4.5	4.98
0.67	0.19	0.22	0.09	0.24	2.41	3.18	4.38	5.06	4.96
0.12	0.14	0.37	0.97	2.34	3.19	4.08	4.83	5.96	6.29
0.02	0.4	0.94	1.94	4.3	4.17	5.19	5.89	5.77	4.76
0.41	1.12	2.18	3.28	4.06	5.1	5.7	5.83	6.33	5.33
1.19	2.23	3.38	4.49	5.24	5.77	5.98	5.61	5.04	4.16
2.17	3.1	3.81	3.98	3.28	6	5.74	4.9	4.22	3.36
3.1	3.87	4.3	3.43	1.77	5.74	5.13	4.22	3.3	1.71
3.77	4	3.94	3.03	1.66	5.06	4.09	3.29	2.66	1.84
4	3.79	3.08	1.12	0.87	4.11	3.17	2.45	2.16	2.02
3.74	2.91	1.9	0.55	0.36	3.14	2.29	1.71	2.14	2.48
3.06	2.15	1.06	0.27	-0.86	2.38	1.86	2.07	2.71	3.24
2.11	1.25	0.3	-0.53	-0.07	2.02	2.16	2.84	3.77	4.92
1.14	0.26	0.12	-0.3	1.05	2.14	2.8	3.53	3.65	4.5
0.38	0.13	0.33	0.27	1.51	2.71	3.66	4.6	5.17	5.89
0.02	0.12	0.34	1.52	2.41	3.6	4.63	4.96	5.16	5.08
0.14	0.71	1.44	2.69	3.17	4.59	5.46	5.88	5.84	4.4
0.71	1.69	2.39	3.54	3.86	5.44	5.98	6.05	5.79	4.07
1.6	2.65	3.51	4.46	4.57	5.93	5.9	5.39	4.19	2.76
2.59	3.47	4.05	3.74	3.04	5.95	5.52	4.48	3.15	3.11
3.44	3.77	4.35	3.91	2.56	5.49	4.56	3.4	2.14	0.64
3.93	3.91	3.33	2.74	1.87	4.67	3.73	2.74	1.84	2.54
3.95	3.52	2.65	1.66	1.17	3.68	2.78	1.9	1.53	2.71
3.49	2.57	1.52	1.05	-0.44	2.77	2.14	1.7	2.1	1.86
2.67	1.83	0.76	0.22	0.94	2.17	2.08	2.35	2.91	4.96
1.68	0.84	0.03	0.29	0.59	2.01	2.24	3.06	4.2	4.81
0.77	0.28	-0.12	0.55	1.04	2.34	3.05	4.18	4.35	5.47
0.17	0.1	0.34	0.92	1.83	3.07	4.12	5.26	5.25	5.65
0.01	0.29	0.76	1.55	3.25	4.04	4.96	5.48	6.39	7.05
0.34	0.99	1.75	2.81	3.65	4.99	5.49	5.69	5.78	6.05
1.07	1.99	3.02	3.64	4.57	5.7	5.92	5.74	5.26	3.73
2.04	3.02	3.88	3.91	3.51	6	5.82	5.24	4.29	4.53
2.99	3.69	4.14	3.4	2.89	5.8	5.31	4.02	2.65	2.18
3.7	4.01	3.92	3.01	1.4	5.17	4.33	3.44	2.48	2.07
4	3.86	3.3	2.07	0.68	4.25	3.2	2.33	2.02	2.68
3.8	3.12	2.19	0.84	0.54	3.27	2.53	2.35	2.03	2.01
3.17	2.14	1.39	0.53	-0.01	2.46	1.83	1.66	2.18	3.37
2.25	1.07	0.01	-0.95	-0.14	2.04	2.09	2.61	3.43	4.14
1.27	0.47	0.11	0.16	0.87	2.09	2.77	3.78	4.93	5.41
0.46	-0.09	0.04	0.54	2.76	2.61	3.38	4.43	5.25	6.54
0.04	-0.01	0.61	1.43	3.03	3.48	4.37	5.14	5.81	7.39
0.09	0.6	1.55	2.72	2.46	4.46	5.29	5.7	5.66	6.78
0.61	1.65	2.51	3.67	4.51	5.34	5.88	6.07	5.71	4.31
1.48	2.48	3.23	3.39	4.25	5.89	6.02	5.63	4.34	2.69
